id,name,email,phone,address,city,state,country,postal_code,created_at,updated_at,gender,source_id,account_id,contact_category_id,is_vip
10,Juliana Martins,juliana.martins@email.com,(11) 99999-0000,,Manaus,AM,Brasil,69000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,F,1,179,,false
1,João Silva,joao.silva@email.com,(11) 99999-1111,,São Paulo,SP,Brasil,01234-567,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,M,1,179,,false
2,Maria Santos,maria.santos@email.com,(11) 99999-2222,,Rio de Janeiro,RJ,Brasil,20000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,F,2,179,,false
3,Pedro Oliveira,pedro.oliveira@email.com,(11) 99999-3333,,Belo Horizonte,MG,Brasil,30000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,M,3,179,,false
5,Carlos Ferreira,carlos.ferreira@email.com,(11) 99999-5555,,Recife,PE,Brasil,50000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,M,2,179,,false
6,Lucia Rodrigues,lucia.rodrigues@email.com,(11) 99999-6666,,Fortaleza,CE,Brasil,60000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,F,3,179,,false
7,Roberto Almeida,roberto.almeida@email.com,(11) 99999-7777,,Brasília,DF,Brasil,70000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,M,1,179,,false
8,Fernanda Lima,fernanda.lima@email.com,(11) 99999-8888,,Curitiba,PR,Brasil,80000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,F,2,157,14,false
9,Marcos Pereira,marcos.pereira@email.com,(11) 99999-9999,,Porto Alegre,RS,Brasil,90000-000,2025-06-30 22:14:01.031329+00,2025-08-25 13:03:40.073128+00,M,3,179,,false
11,Mameluko,mameluko@gmail.com,(55) 61981-3245,,brasilia,DF,Brasil,325235,2025-06-30 22:15:40.469465+00,2025-08-25 13:03:40.073128+00,M,15,25,,false
14,Barba Be,fsgsdgdsgd@ghfh.com,(61) 23242-4245,,,DF,Brasil,,2025-06-30 22:39:17.779569+00,2025-08-25 13:03:40.073128+00,M,12,179,,false
15,Kajuino jose,hdfghfdghfd@trhf.com,(61) 54677-5466,,,DF,Brasil,,2025-06-30 22:50:12.70058+00,2025-08-25 13:03:40.073128+00,M,8,179,,false
16,Dudu Pikachu,ewrdfgdsg@gmail.com,(61) 66865-8676,,,DF,Brasil,,2025-07-04 20:58:18.244945+00,2025-08-25 13:03:40.073128+00,M,11,179,,false
52,Taboril da silva,taboril@gmail.com,(61) 91231-2312,,,DF,Brasil,,2025-07-16 00:28:38.856114+00,2025-08-25 13:03:40.073128+00,M,9,50,14,false
38,Kabuco Joe,sfsfsafsadf@gmail.com,(61) 98132-4556,,,DF,Brasil,,2025-07-15 23:07:39.657086+00,2025-08-25 13:03:40.073128+00,M,9,35,,false
